datetime,subject,duration
,,,
2018-05-11 09:02:00.703,TDT4100,50
2018-05-11 10:25:40.527,TDT4100,72
2018-05-11 11:26:58.389,TMA4115,52
2018-05-11 12:53:36.151,TMA4115,67
2018-05-11 14:53:57.847,TMA4115,32
2018-05-11 16:36:47.946,TMA4115,31
2018-05-11 17:36:32.741,TIØ4101,42
2018-05-11 18:22:42.536,TIØ4101,35
2018-05-11 20:38:55.171,TDT4100,15
2018-05-11 22:49:44.472,Django,39
2018-05-12 12:36:30.086,TTM4100,104
2018-05-12 13:30:47.439,TIØ4101,45
2018-05-12 13:56:52.537,TDT4100,26
2018-05-12 15:22:06.005,TTM4100,20
2018-05-12 16:08:29.535,TTM4100,35
2018-05-13 08:23:21.198,TTM4100,133
2018-05-13 09:16:38.769,TTM4100,53
2018-05-13 10:19:13.311,TTM4100,56
